key|type|title|parent|phase|milestone|area|priority|risk|target|effort
S00-16|Story|STORY: Add PR test workflow targeting main|F00-04|0|M0 Bootstrap|CI/CD|P0|Medium|Prototype|S
S00-17|Story|STORY: Add main development APK artifact workflow|F00-04|0|M0 Bootstrap|CI/CD|P0|High|Prototype|M
S00-18|Story|STORY: Add release APK workflow triggered by v* tags|F00-04|0|M0 Bootstrap|CI/CD|P0|High|Prototype|M
S00-19|Story|STORY: Add forbidden-secrets check|F00-04|0|M0 Bootstrap|CI/CD|P0|Medium|Prototype|S
EPIC-01|Epic|EPIC-01 Unity/Quest project bootstrap||1|M0 Bootstrap|Engine|P0|High|Prototype|XL
F01-01|Feature|FEATURE: Create Unity 6 URP project|EPIC-01|1|M0 Bootstrap|Engine|P0|High|Prototype|L
S01-01|Story|STORY: Pin Unity version|F01-01|1|M0 Bootstrap|Engine|P0|Medium|Prototype|S
S01-02|Story|STORY: Configure visible meta files and text serialization|F01-01|1|M0 Bootstrap|Engine|P0|Medium|Prototype|S
S01-03|Story|STORY: Add assembly definitions|F01-01|1|M0 Bootstrap|Engine|P0|Medium|Prototype|M
S01-04|Story|STORY: Add boot scene|F01-01|1|M0 Bootstrap|Engine|P0|Medium|Prototype|M
S01-05|Story|STORY: Configure Quest/OpenXR build profile|F01-01|1|M0 Bootstrap|Engine|P0|High|Prototype|M
F01-02|Feature|FEATURE: Add Meta/XR dependencies|EPIC-01|1|M1 VR Slice|VR|P0|High|Prototype|L
S01-06|Story|STORY: Install OpenXR|F01-02|1|M1 VR Slice|VR|P0|High|Prototype|S
S01-07|Story|STORY: Install Unity OpenXR: Meta|F01-02|1|M1 VR Slice|VR|P0|High|Prototype|S
S01-08|Story|STORY: Install Meta XR Core SDK|F01-02|1|M1 VR Slice|VR|P0|High|Prototype|S
S01-09|Story|STORY: Add XR rig prefab|F01-02|1|M1 VR Slice|VR|P0|High|Prototype|M
EPIC-02|Epic|EPIC-02 VR player controller and interaction foundation||3|M1 VR Slice|VR|P0|High|Prototype|XL
F02-01|Feature|FEATURE: Controller input|EPIC-02|3|M1 VR Slice|VR|P0|High|Prototype|L
S02-01|Story|STORY: Create input action map|F02-01|3|M1 VR Slice|VR|P0|High|Prototype|M
S02-02|Story|STORY: Bind Quest controller buttons|F02-01|3|M1 VR Slice|VR|P0|High|Prototype|M
S02-03|Story|STORY: Add controller haptics abstraction|F02-01|3|M1 VR Slice|VR|P1|Medium|Prototype|S
S02-04|Story|STORY: Add input smoke tests|F02-01|3|M1 VR Slice|QA|P0|Medium|Prototype|S
F02-02|Feature|FEATURE: Locomotion|EPIC-02|3|M1 VR Slice|VR|P0|High|Prototype|L
S02-05|Story|STORY: Add teleport locomotion|F02-02|3|M1 VR Slice|VR|P0|High|Prototype|M
S02-06|Story|STORY: Add snap turn|F02-02|3|M1 VR Slice|VR|P0|Medium|Prototype|S
S02-07|Story|STORY: Add height reset|F02-02|3|M1 VR Slice|VR|P1|Medium|Prototype|S
S02-08|Story|STORY: Add comfort settings menu|F02-02|3|M1 VR Slice|UI|P0|Medium|Prototype|M
F02-03|Feature|FEATURE: Interaction|EPIC-02|3|M1 VR Slice|VR|P0|High|Prototype|L
S02-09|Story|STORY: Add ray pointer|F02-03|3|M1 VR Slice|VR|P0|High|Prototype|M
S02-10|Story|STORY: Add block highlight|F02-03|3|M1 VR Slice|Creative|P0|Medium|Prototype|M
S02-11|Story|STORY: Add radial/block menu placeholder|F02-03|3|M1 VR Slice|UI|P1|Medium|Prototype|M
EPIC-03|Epic|EPIC-03 Voxel data model and block registry||4|M2 Creative|Voxel|P0|Medium|Prototype|XL
F03-01|Feature|FEATURE: Block registry|EPIC-03|4|M2 Creative|Voxel|P0|Medium|Prototype|M
S03-01|Story|STORY: Add BlockId and BlockDefinition|F03-01|4|M2 Creative|Voxel|P0|Medium|Prototype|S
S03-02|Story|STORY: Add initial original block list|F03-01|4|M2 Creative|Voxel|P0|Low|Prototype|S
S03-03|Story|STORY: Add registry validation tests|F03-01|4|M2 Creative|QA|P0|Medium|Prototype|S
F03-02|Feature|FEATURE: Chunk/world storage|EPIC-03|4|M2 Creative|Voxel|P0|Medium|Prototype|L
S03-04|Story|STORY: Add chunk coordinate math|F03-02|4|M2 Creative|Voxel|P0|Medium|Prototype|M
S03-05|Story|STORY: Add bounded world storage|F03-02|4|M2 Creative|Voxel|P0|Medium|Prototype|M
S03-06|Story|STORY: Add block mutation commands|F03-02|4|M2 Creative|Voxel|P0|High|Prototype|M
S03-07|Story|STORY: Add world bounds tests|F03-02|4|M2 Creative|QA|P0|Medium|Prototype|S
EPIC-04|Epic|EPIC-04 Bounded terrain, caves, and resources||5|M3 Survival-Lite|Terrain|P0|High|Alpha|XL
F04-01|Feature|FEATURE: Terrain generation|EPIC-04|5|M3 Survival-Lite|Terrain|P0|High|Alpha|L
S04-01|Story|STORY: Add seeded heightmap|F04-01|5|M3 Survival-Lite|Terrain|P0|Medium|Alpha|M
S04-02|Story|STORY: Add flat test preset|F04-01|5|M2 Creative|Terrain|P1|Low|Prototype|S
S04-03|Story|STORY: Add spawn-safe clearing|F04-01|5|M3 Survival-Lite|Terrain|P0|High|Alpha|M
S04-04|Story|STORY: Add deterministic generation tests|F04-01|5|M3 Survival-Lite|QA|P0|Medium|Alpha|S
F04-02|Feature|FEATURE: Caves/resources|EPIC-04|5|M3 Survival-Lite|Terrain|P0|High|Alpha|L
S04-05|Story|STORY: Add cave carving|F04-02|5|M3 Survival-Lite|Terrain|P0|High|Alpha|M
S04-06|Story|STORY: Add resource veins|F04-02|5|M3 Survival-Lite|Terrain|P0|Medium|Alpha|M
S04-07|Story|STORY: Add distribution tests|F04-02|5|M3 Survival-Lite|QA|P0|Medium|Alpha|S
EPIC-05|Epic|EPIC-05 Chunk rendering and mesh optimization||6|M2 Creative|Voxel|P0|High|Prototype|XL
F05-01|Feature|FEATURE: Chunk meshing|EPIC-05|6|M2 Creative|Voxel|P0|High|Prototype|L
S05-01|Story|STORY: Generate visible faces only|F05-01|6|M2 Creative|Voxel|P0|High|Prototype|M
S05-02|Story|STORY: Add UV atlas mapping|F05-01|6|M2 Creative|Art|P0|Medium|Prototype|M
S05-03|Story|STORY: Add dirty chunk rebuild queue|F05-01|6|M2 Creative|Voxel|P0|High|Prototype|M
S05-04|Story|STORY: Add mesh tests|F05-01|6|M2 Creative|QA|P0|Medium|Prototype|S
F05-02|Feature|FEATURE: Quest rendering budget|EPIC-05|6|M2 Creative|QA|P0|High|Prototype|M
S05-05|Story|STORY: Add debug stats panel|F05-02|6|M2 Creative|UI|P1|Medium|Prototype|S
S05-06|Story|STORY: Add triangle/chunk counter|F05-02|6|M2 Creative|QA|P1|Medium|Prototype|S
S05-07|Story|STORY: Add stress scene|F05-02|6|M2 Creative|QA|P1|Medium|Prototype|M
EPIC-06|Epic|EPIC-06 Creative-mode building loop||7|M2 Creative|Creative|P0|High|Prototype|XL
F06-01|Feature|FEATURE: Break/place blocks|EPIC-06|7|M2 Creative|Creative|P0|High|Prototype|L
S06-01|Story|STORY: Add raycast targeting|F06-01|7|M2 Creative|Creative|P0|High|Prototype|M
S06-02|Story|STORY: Add face-normal placement|F06-01|7|M2 Creative|Creative|P0|High|Prototype|M
S06-03|Story|STORY: Add placement preview|F06-01|7|M2 Creative|Creative|P0|Medium|Prototype|M
S06-04|Story|STORY: Add undo command|F06-01|7|M2 Creative|Creative|P1|Medium|Prototype|M
F06-02|Feature|FEATURE: Creative inventory|EPIC-06|7|M2 Creative|Creative|P0|Medium|Prototype|M
S06-05|Story|STORY: Add hotbar|F06-02|7|M2 Creative|UI|P0|Medium|Prototype|M
S06-06|Story|STORY: Add block picker|F06-02|7|M2 Creative|UI|P1|Medium|Prototype|M
S06-07|Story|STORY: Add selected block UI|F06-02|7|M2 Creative|UI|P0|Medium|Prototype|S
EPIC-07|Epic|EPIC-07 Inventory, resources, and crafting||9|M3 Survival-Lite|Survival|P0|High|Alpha|XL
F07-01|Feature|FEATURE: Inventory|EPIC-07|9|M3 Survival-Lite|Survival|P0|High|Alpha|L
S07-01|Story|STORY: Add inventory model|F07-01|9|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S07-02|Story|STORY: Add stacking/splitting|F07-01|9|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S07-03|Story|STORY: Add inventory UI|F07-01|9|M3 Survival-Lite|UI|P0|Medium|Alpha|M
S07-04|Story|STORY: Add unit tests|F07-01|9|M3 Survival-Lite|QA|P0|Medium|Alpha|S
F07-02|Feature|FEATURE: Crafting|EPIC-07|9|M3 Survival-Lite|Survival|P0|High|Alpha|L
S07-05|Story|STORY: Add recipe definitions|F07-02|9|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S07-06|Story|STORY: Add workbench|F07-02|9|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S07-07|Story|STORY: Add crafting validation|F07-02|9|M3 Survival-Lite|Survival|P0|High|Alpha|M
S07-08|Story|STORY: Add crafting UI|F07-02|9|M3 Survival-Lite|UI|P0|Medium|Alpha|M
EPIC-08|Epic|EPIC-08 Survival-lite health/resource loop||10|M3 Survival-Lite|Survival|P0|Medium|Alpha|L
F08-01|Feature|FEATURE: Health|EPIC-08|10|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S08-01|Story|STORY: Add health model|F08-01|10|M3 Survival-Lite|Survival|P0|Medium|Alpha|S
S08-02|Story|STORY: Add damage/healing events|F08-01|10|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S08-03|Story|STORY: Add respawn|F08-01|10|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S08-04|Story|STORY: Add health UI|F08-01|10|M3 Survival-Lite|UI|P0|Medium|Alpha|S
F08-02|Feature|FEATURE: Resource loop|EPIC-08|10|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S08-05|Story|STORY: Add block drops|F08-02|10|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S08-06|Story|STORY: Add tool effectiveness|F08-02|10|M3 Survival-Lite|Survival|P1|Medium|Alpha|M
S08-07|Story|STORY: Add simple scarcity tuning|F08-02|10|M3 Survival-Lite|Survival|P1|Medium|Alpha|S
EPIC-09|Epic|EPIC-09 Save/load and world versioning||8|M2 Creative|Voxel|P0|High|Prototype|XL
F09-01|Feature|FEATURE: Save system|EPIC-09|8|M2 Creative|Voxel|P0|High|Prototype|L
S09-01|Story|STORY: Save world metadata|F09-01|8|M2 Creative|Voxel|P0|Medium|Prototype|M
S09-02|Story|STORY: Save changed block deltas|F09-01|8|M2 Creative|Voxel|P0|High|Prototype|M
S09-03|Story|STORY: Save player inventory|F09-01|8|M3 Survival-Lite|Survival|P0|Medium|Alpha|M
S09-04|Story|STORY: Add atomic save writes|F09-01|8|M2 Creative|Voxel|P0|High|Prototype|M
F09-02|Feature|FEATURE: Load/migration|EPIC-09|8|M2 Creative|Voxel|P0|High|Prototype|L
S09-05|Story|STORY: Load current schema|F09-02|8|M2 Creative|Voxel|P0|High|Prototype|M
S09-06|Story|STORY: Add schema version|F09-02|8|M2 Creative|Voxel|P0|High|Prototype|S
S09-07|Story|STORY: Add migration hook|F09-02|8|M2 Creative|Voxel|P1|Medium|Prototype|M
S09-08|Story|STORY: Add corrupted-save handling|F09-02|8|M2 Creative|Voxel|P0|High|Prototype|M
EPIC-10|Epic|EPIC-10 Multiplayer co-op foundation||11|M4 Multiplayer|Multiplayer|P0|High|Alpha|XL
F10-01|Feature|FEATURE: Host/client setup|EPIC-10|11|M4 Multiplayer|Multiplayer|P0|High|Alpha|L
S10-01|Story|STORY: Add NetworkManager prefab|F10-01|11|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
S10-02|Story|STORY: Add LAN host flow|F10-01|11|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
S10-03|Story|STORY: Add LAN join flow|F10-01|11|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
S10-04|Story|STORY: Add player avatar sync|F10-01|11|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
F10-02|Feature|FEATURE: Multiplayer tests|EPIC-10|11|M4 Multiplayer|QA|P0|High|Alpha|L
S10-05|Story|STORY: Add Multiplayer Play Mode test scene|F10-02|11|M4 Multiplayer|QA|P0|Medium|Alpha|M
S10-06|Story|STORY: Add host/client connection test|F10-02|11|M4 Multiplayer|QA|P0|High|Alpha|M
S10-07|Story|STORY: Add disconnect/rejoin test|F10-02|11|M4 Multiplayer|QA|P1|Medium|Alpha|M
EPIC-11|Epic|EPIC-11 Multiplayer world synchronization||12|M4 Multiplayer|Multiplayer|P0|High|Alpha|XL
F11-01|Feature|FEATURE: Networked voxel edits|EPIC-11|12|M4 Multiplayer|Multiplayer|P0|High|Alpha|L
S11-01|Story|STORY: Add authoritative block mutation RPC|F11-01|12|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
S11-02|Story|STORY: Add chunk delta sync|F11-01|12|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
S11-03|Story|STORY: Add late-join sync|F11-01|12|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
S11-04|Story|STORY: Add conflict handling|F11-01|12|M4 Multiplayer|Multiplayer|P1|High|Alpha|M
F11-02|Feature|FEATURE: Networked survival-lite|EPIC-11|13|M4 Multiplayer|Multiplayer|P0|High|Alpha|L
S11-05|Story|STORY: Sync resource drops|F11-02|13|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
S11-06|Story|STORY: Sync shared crate|F11-02|13|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
S11-07|Story|STORY: Validate crafting on host|F11-02|13|M4 Multiplayer|Multiplayer|P0|High|Alpha|M
EPIC-12|Epic|EPIC-12 Art/audio/UI polish||14|M5 Store Candidate|Art|P1|Medium|Beta|XL
F12-01|Feature|FEATURE: Art style guide|EPIC-12|14|M5 Store Candidate|Art|P0|Medium|Beta|M
S12-01|Story|STORY: Define palette|F12-01|14|M5 Store Candidate|Art|P1|Low|Beta|S
S12-02|Story|STORY: Define block texture rules|F12-01|14|M5 Store Candidate|Art|P0|Medium|Beta|S
S12-03|Story|STORY: Define naming rules|F12-01|14|M5 Store Candidate|Art|P0|Medium|Beta|S
S12-04|Story|STORY: Add AI/procedural asset provenance log|F12-01|14|M5 Store Candidate|Art|P0|Medium|Beta|S
F12-02|Feature|FEATURE: First art pass|EPIC-12|14|M5 Store Candidate|Art|P1|Medium|Beta|L
S12-05|Story|STORY: Generate original block textures|F12-02|14|M5 Store Candidate|Art|P1|Medium|Beta|M
S12-06|Story|STORY: Generate original item icons|F12-02|14|M5 Store Candidate|Art|P1|Medium|Beta|M
S12-07|Story|STORY: Generate UI panels|F12-02|14|M5 Store Candidate|UI|P1|Medium|Beta|M
S12-08|Story|STORY: Add asset validation tests|F12-02|14|M5 Store Candidate|QA|P1|Medium|Beta|M
F12-03|Feature|FEATURE: Audio/haptics|EPIC-12|15|M5 Store Candidate|Audio|P1|Medium|Beta|M
S12-09|Story|STORY: Add break/place sounds|F12-03|15|M5 Store Candidate|Audio|P1|Low|Beta|S
S12-10|Story|STORY: Add UI sounds|F12-03|15|M5 Store Candidate|Audio|P2|Low|Beta|S
S12-11|Story|STORY: Add haptic patterns|F12-03|15|M5 Store Candidate|VR|P1|Medium|Beta|S
EPIC-13|Epic|EPIC-13 Performance, profiling, and Quest validation||16|M5 Store Candidate|QA|P0|High|RC|XL
F13-01|Feature|FEATURE: Performance instrumentation|EPIC-13|16|M5 Store Candidate|QA|P0|High|RC|L
S13-01|Story|STORY: Add profiler markers|F13-01|16|M5 Store Candidate|QA|P1|Medium|RC|M
S13-02|Story|STORY: Add in-game stats|F13-01|16|M5 Store Candidate|UI|P1|Medium|RC|M
S13-03|Story|STORY: Add stress scenes|F13-01|16|M5 Store Candidate|QA|P1|Medium|RC|M
F13-02|Feature|FEATURE: Quest validation|EPIC-13|16|M5 Store Candidate|QA|P0|High|RC|L
S13-04|Story|STORY: Run Quest 3 smoke test|F13-02|16|M5 Store Candidate|QA|P0|High|RC|M
S13-05|Story|STORY: Run Quest 3S smoke test|F13-02|16|M5 Store Candidate|QA|P0|High|RC|M
S13-06|Story|STORY: Capture OVR Metrics|F13-02|16|M5 Store Candidate|QA|P0|High|RC|M
S13-07|Story|STORY: Document performance results|F13-02|16|M5 Store Candidate|QA|P0|Medium|RC|S
EPIC-14|Epic|EPIC-14 Meta release pipeline and store readiness||17|M5 Store Candidate|Store|P0|High|Store|XL
F14-01|Feature|FEATURE: Signed release builds|EPIC-14|17|M5 Store Candidate|CI/CD|P0|High|RC|L
S14-01|Story|STORY: Create production keystore|F14-01|17|M5 Store Candidate|CI/CD|P0|High|RC|S
S14-02|Story|STORY: Store keystore in secrets|F14-01|17|M5 Store Candidate|CI/CD|P0|High|RC|S
S14-03|Story|STORY: Build signed APK from main tag|F14-01|17|M5 Store Candidate|CI/CD|P0|High|RC|M
S14-04|Story|STORY: Create GitHub Release artifact|F14-01|17|M5 Store Candidate|CI/CD|P0|High|RC|M
F14-02|Feature|FEATURE: Meta release channels|EPIC-14|18|M5 Store Candidate|Store|P0|High|RC|L
S14-05|Story|STORY: Create Meta app|F14-02|18|M5 Store Candidate|Store|P0|High|RC|M
S14-06|Story|STORY: Upload Alpha build from main tag|F14-02|18|M5 Store Candidate|Store|P0|High|RC|M
S14-07|Story|STORY: Invite private testers|F14-02|18|M5 Store Candidate|Store|P1|Medium|RC|S
S14-08|Story|STORY: Validate install/update flow|F14-02|18|M5 Store Candidate|QA|P0|High|RC|M
F14-03|Feature|FEATURE: Store submission|EPIC-14|19|M5 Store Candidate|Store|P0|High|Store|L
S14-09|Story|STORY: Draft privacy policy|F14-03|19|M5 Store Candidate|Store|P0|High|Store|M
S14-10|Story|STORY: Prepare screenshots|F14-03|19|M5 Store Candidate|Store|P1|Medium|Store|M
S14-11|Story|STORY: Prepare descriptions|F14-03|19|M5 Store Candidate|Store|P0|Medium|Store|M
S14-12|Story|STORY: Complete VRC checklist|F14-03|19|M5 Store Candidate|Store|P0|High|Store|M
S14-13|Story|STORY: Submit candidate build|F14-03|19|M5 Store Candidate|Store|P0|High|Store|M
EPIC-15|Epic|EPIC-15 Full survival expansion||20|M6 Full Survival|Survival|P2|High|Store|XL
F15-01|Feature|FEATURE: Day/night|EPIC-15|20|M6 Full Survival|Survival|P2|Medium|Store|L
S15-01|Story|STORY: Add world time|F15-01|20|M6 Full Survival|Survival|P2|Medium|Store|M
S15-02|Story|STORY: Add lighting cycle|F15-01|20|M6 Full Survival|Survival|P2|Medium|Store|M
S15-03|Story|STORY: Add sleep/skip mechanic, optional|F15-01|20|M6 Full Survival|Survival|P3|Low|Store|M
F15-02|Feature|FEATURE: Mobs|EPIC-15|20|M6 Full Survival|Survival|P2|High|Store|XL
S15-04|Story|STORY: Add original passive creature|F15-02|20|M6 Full Survival|Survival|P2|Medium|Store|M
S15-05|Story|STORY: Add original hostile creature|F15-02|20|M6 Full Survival|Survival|P2|High|Store|L
S15-06|Story|STORY: Add basic AI|F15-02|20|M6 Full Survival|Survival|P2|High|Store|L
S15-07|Story|STORY: Add multiplayer combat sync|F15-02|20|M6 Full Survival|Multiplayer|P2|High|Store|L
